season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2021,REG,10,Stefon Diggs,WR,BUF,4.58615384615385,1.90141469124807,15.9392307692308,57.6031357722673,8,13,61.5384615384615,162,1,5.175,4.53218982198895,0.64281017801105,00-0031588,Stefon,Diggs,14,S.Diggs
2021,REG,10,Geoff Swaim,TE,TEN,4.555,2.38368826232205,6.15,18.8153949703237,4,5,80,26,0,1.9525,3.36093868258176,-1.40843868258176,00-0032141,Geoffrey,Swaim,87,G.Swaim
2021,REG,10,Albert Wilson,WR,MIA,4.34,4.16218320103933,6.506,10.9924644341567,4,5,80,87,0,15.545,10.4956006669929,5.04939933300714,00-0030669,Albert,Wilson,2,A.Wilson
2021,REG,10,George Kittle,TE,SF,4.235,2.02504413106952,5.58714285714286,34.2799544219476,5,7,71.4285714285714,50,1,4.628,3.25454465052662,1.37345534947338,00-0033288,George,Kittle,85,G.Kittle
2021,REG,10,Jamal Agnew,WR,JAX,4.148,1.10117203291938,13.432,20.1524335353778,0,5,0,,0,,,,00-0033572,Jamal,Agnew,39,J.Agnew
2021,REG,10,Keelan Cole,WR,NYJ,4.146,2.94355097835902,14.7266666666667,26.2905769287988,1,6,16.6666666666667,18,0,6.74,4.6240560923361,2.1159439076639,00-0033681,Keelan,Cole,88,K.Cole
2021,REG,10,Davante Adams,WR,GB,4.1425,3.87684089515624,4.93727272727273,23.6944286898477,7,11,63.6363636363636,78,0,6.83714285714286,6.02453337435964,0.812609482783222,00-0031381,Davante,Adams,17,D.Adams
2021,REG,10,Diontae Johnson,WR,PIT,4.02,2.41603570295349,8.35153846153846,34.1576215195847,7,13,53.8461538461539,83,0,5.33285714285715,5.07238329103793,0.26047385181922,00-0035216,Diontae,Johnson,18,D.Johnson
2021,REG,10,Laviska Shenault,WR,JAX,3.8975,1.90981268855753,9.5625,22.9550501110244,3,8,37.5,15,0,2.7,2.82745747712753,-0.127457477127535,00-0036268,Laviska,Shenault,10,L.Shenault
2021,REG,10,A.J. Green,WR,ARI,3.764,2.08841647680764,9.888,23.3515964481391,1,5,20,4,0,6.19,11.7574282615678,-5.56742826156784,00-0027942,Adriel,Green,18,A.Green
2021,REG,10,Elijah Moore,WR,NYJ,3.07,2.39060708294592,16.0183333333333,28.5965068880359,3,6,50,44,1,5.85666666666667,4.19906601840906,1.6576006482576,00-0036980,Elijah,Moore,8,E.Moore
